19.8,14,1019.6,8.4,9.9,15.9,28.9,14
26.8,22.2,1006.2,8.1,10.9,19,34,21
34.6,32.9,1004.6,3.9,13.8,22,36,33.1
26.4,21.5,1006.9,8,18.7,30.1,39.9,16
14.7,7.9,1009.9,8.1,14.1,22,21,9
30.6,22.7,1015.1,12.6,9.3,17.1,42.1,19
37.2,30.2,1012.2,10.7,8.1,17.1,50,30.9
36.3,30.1,1002.8,9.7,6,17.1,43,30.9
14.9,10.8,1025.6,8,19.8,26,32,7
10.4,5.3,1039.9,4.8,14.7,19,12.9,9
15.3,12,1038.9,2.6,9.2,10.1,19.9,9
17.8,11.9,1030.4,9.2,6.6,10.1,24.1,10
19.7,13.6,1019.1,11.8,5,10.1,37,10.9
23.9,20.8,1016.4,4.3,5.1,10.1,34,15.1
36.7,36.4,1003.8,1,6.6,15,39,34
18.4,12.5,1022.8,7.8,18.7,26,35.1,9
7,-0.1,1032.4,9.6,10.7,22,18,1
17.8,11.9,1018.3,7.5,10.1,22.9,23,10
8.5,-0.8,1031.4,8.5,12.7,22,16,0
10.2,2.7,1032,6.9,13.5,22,17.1,6.1
10.4,6.6,1023.8,5.3,9.7,15.9,18,1.9
4.8,-0.6,1030.1,4.4,7.2,10.1,19,-5.1
28.8,28.2,1018.6,0.9,9.7,18.1,34,19.9
6.4,0.7,1031.6,5.4,18,22,18,0
2.8,-2.8,1039,4.9,14.2,18.1,7,1
8.2,3.3,1032.6,8.1,10,13,17.1,3
18.6,14.8,1018,4.1,9.3,26,19.9,16
9,4.8,1021.8,3.5,22.1,31.1,18,1.9
-2.5,-9.8,1041.6,11.5,10.9,13,1.9,-8
-2.6,-11.8,1032.2,14.9,12.1,22.9,12,-11
12.1,6.8,1020.7,10.8,7.8,13,30.9,3.9
10.4,3.9,1029.1,11.4,8.3,17.1,21,0
1.3,-5.9,1032.5,9.1,11,17.1,15.1,-7.1
22.3,18.5,1017.2,5.1,10.3,15.9,25,10.9
5.6,0.2,1020.8,5.5,9.7,12,16,-5.1
18.1,14.5,1016.9,4.7,9,15.9,28,10.9
19.3,16.2,1013.6,8.1,11.5,22,28.9,9
20.9,15.6,1008.7,10.9,9.7,17.1,36,9
23.3,18,1007.5,14.2,12.8,26,34,14
17.7,10.5,1018.5,12.5,6.6,17.1,39,6.1
13,5.8,1026.7,13.8,13.1,26,30.9,-0.9
30.7,26,1012.9,11.6,12.9,17.1,43,19.9
25.3,21.9,1010.2,7.5,12,22,42.1,14
7.9,4,1025.1,6.2,14.7,22,12.9,3.9
7.5,2.8,1020.9,6.7,6.8,11.1,17.1,1.9
15.3,9.2,1011,10,7,12,35.1,1
24.8,16.1,1019.3,12.5,9.6,17.1,32,16
28.8,20.8,1020.8,12.5,8.3,15.9,44.1,15.1
38,33,1014.1,12.8,13.6,22,44.1,26.1
17.3,9.7,1023.5,8.7,8.5,14,25,12
15.1,10.1,1032.6,8.7,8.2,8.9,23,8.1
23.9,20,1027.5,5,3.5,8.9,30,21
29.4,28,1025.6,6.8,5,10.1,34,26.1
34.8,32.8,1019.7,8.2,9,10.1,42.1,30.9
33.4,29.4,1017.2,8.5,14,28,43,25
25.2,18.5,1028.6,9.1,7.4,17.1,37,17.1
33,29,1023.2,9.6,4.6,10.1,39,30
29.4,26.8,1024,7.6,12.8,17.1,34,26.1
21.6,17.3,1032.5,12.4,8.3,17.1,28,14
24.3,20.3,1027.9,11.1,3.5,13,37,17.1
35,30.5,1023.8,11.1,7.7,12,44.1,28.9
35.9,32.6,1022,7.2,8.5,13,42.1,30.9
42.3,37.3,1013.5,7.4,1.9,8.9,57.9,30.9
41.9,36.1,1010.4,8.3,7,13,50,34
36.6,31.8,1019.9,9.4,8.2,17.1,43,33.1
35.2,31.5,1020.8,10,8.3,22,46,28.9
36.2,33.5,1011.2,6.9,8.8,26,43,30.9
30,27.3,1019,8.6,17.6,22,35.1,25
26.7,20.9,1025.1,10.4,10.1,15,32,21
24.4,18,1025.1,10.4,7.7,13,30,18
30.9,25.5,1020.1,10.9,4.6,15.9,39,26.1
33.2,28.6,1023.1,6.3,4,11.1,37,30
28,23.7,1028.2,5.4,11.7,17.1,33.1,19
13.9,5.3,1034.3,9.5,9.6,22,24.1,7
27.7,21.5,1022.5,11.1,8.8,14,37,23
27.6,21.3,1022.7,8.4,7.9,13,36,21
28.6,21.8,1026.3,11.1,8,10.1,39.9,21.9
32.5,26.2,1025.8,9.6,10.7,20,39.9,28
44.7,36.7,1011.9,10.2,16.3,26,68,33.1
48.2,43.2,1004.4,6.2,14.2,26,62.1,37
35.3,32.4,1011.8,4.9,16.4,22,39,33.1
36.3,33.4,1012.3,6,12.5,22,48.9,32
54.1,45.5,998.7,9.2,18.9,35,68,46
45.3,34.1,1011.5,11.5,11.5,22,59,34
46.5,42.2,1006.8,7.6,12.3,25.1,53.1,42.1
46.2,38.8,1001.4,11.1,13.3,26,63,37
50.7,34.3,1008.9,12.3,6.3,26,69.1,37.9
42.8,38.9,1016.4,7.7,16.4,26,59,39.9
43.2,40.1,1008.3,6.6,17.4,26,57,39
39.7,35.5,1005.7,9.2,16.2,22,54,35.1
37.8,30,1020.2,9.6,9.8,22.9,48.9,28.9
40.9,31.4,1019.2,10.4,7,15.9,46.9,35.1
43,31.9,1020.4,11.4,5.8,13,53.1,36
43.1,32.9,1023,8,3.8,13,57,30
45.6,34,1015.2,12.5,10.1,20,57.9,33.1
52.3,34.9,1008.1,14.3,9.9,22,68,39.9
55.3,37.7,1013.6,12.3,7.7,22,70,45
50.5,33.2,1016.7,9.8,5.3,15.9,64,35.1
51.6,33.8,1018.2,12.1,13.7,20,57.9,46
47.2,36.3,1021.2,8.7,12.6,18.1,52,45
49.4,29,1021.3,11.2,8.6,13,68,34
55.7,36.3,1012.2,9.9,6.2,14,73.9,37.9
59.9,43.9,1003.5,9.3,8,17.1,73.9,48
44.4,38.3,1003.3,5.5,20.5,30.1,70,33.1
36.9,30.5,1021.4,11.8,17,26,45,33.1
42.1,33.9,1019.5,11.3,9.2,22,62.1,30.9
53.7,39.5,1010.3,11.8,15.4,30.1,61,44.1
41.8,27,1021.4,14.1,12,22,54,30
46.8,31.5,1023.9,13.5,10.2,17.1,64,34
57.8,37.5,1018.9,12.2,14.2,26,72,50
56.3,47,1012.8,9.7,13.3,17.1,66.9,50
56.9,45.5,1014.1,11.7,3,14,72,48
59.5,38.9,1018.6,13,8.1,15.9,77,41
56,36.1,1019.5,13.2,12.8,17.1,75.9,41
69.7,47.3,1013.6,13.3,14.4,26,88,54
68.4,53.5,1014.5,10.9,12.5,22,82,55.9
62.8,43.3,1022,9.8,9.5,18.1,73,54
60.5,39.8,1024.1,10.9,7.6,15.9,73,46.9
64.1,41.8,1017.3,13.9,10.1,17.1,78.1,51.1
66,46.4,1007.9,11.5,14.1,26,77,54
56.8,49.1,1001,9.5,14.2,22,64.9,50
61.6,42,1010.7,12.1,8.7,15.9,82.9,45
74.8,64.1,1011,12.6,16.3,30.1,91,61
79,69.3,1011.6,7.1,19.2,26,86,72
76.6,68.5,1012.5,13.4,16,22,84.9,69.1
62,56.8,1021.1,11.5,11.5,15.9,77,57
61.2,54.3,1021.8,12.3,9.1,17.1,68,54
57.6,54.3,1013.9,7.8,9.1,22,66.9,53.1
56.7,50.9,1015.1,8.1,13.3,19,70,48.9
61.2,52.7,1021.6,11.8,4.7,10.1,70,52
63.6,55.9,1021,13,4.3,10.1,75.9,51.1
70,61.9,1018.7,11.6,7.3,10.1,84.9,57
71.5,62.2,1014.6,10.6,6.4,15,84,57.9
71.7,64.6,1014.8,9.5,4.6,13,82,62.1
66.4,60.7,1014.7,10.7,5.4,13,75,60.1
68.1,64,1011.7,8.3,10.8,22.9,75.9,64
70.5,64.1,1010,10.3,14.3,26,80.1,63
70.5,62.7,1008.2,13.8,11.9,22.9,77,64
58,53.2,1015,8.9,6,15.9,75,52
57.5,51.7,1015.6,10.3,2.8,13,70,53.1
61.7,58.1,999,7.4,10.2,22,68,57.9
60.3,55,1006.3,7,5.9,13,70,54
62,56.3,1012.7,10.9,2.7,13,68,54
53.7,45,1021.5,11.4,2.4,13,64.9,43
64.9,55.9,1016.9,13.9,4.5,13,82,54
67,54.9,1016.1,12.8,9.4,15,77,57
70.1,60.4,1013.3,11.7,5.4,10.1,82.9,60.1
72,60.3,1013.6,12.1,7,8.9,82,60.1
71.2,65,1011.3,10.8,11.3,15.9,80.1,64
72.2,64.9,1010.6,11.2,14.5,18.1,82,66
75.9,68.1,1008.7,11.6,10.6,22,86,66.9
76.7,68.9,1004.1,11.9,17.5,27,84,69.1
69.7,63.6,1004.4,9.7,9.2,20,81,62.1
70.5,61.5,1015.3,14.9,3.4,8.9,78.1,62.1
68.8,61.8,1020.4,10.5,3.4,13,73.9,62.1
69.5,61.4,1019.4,13.3,3.7,12,79,63
74.5,65.4,1014.8,11.8,3,12,88,64
65.5,54.4,1016.3,10.4,10.3,20,82,55.9
65.5,60.3,1016.6,10.6,10.6,22,77,57.9
68.4,63.7,1018,11.1,11.7,15,75.9,62.1
71.8,66.6,1019.1,10.2,1.5,8.9,82.9,63
74.6,68.3,1014.3,9.4,0.4,5.1,84.9,64
77.5,72,1007.7,11.1,5.4,13,84.9,70
70,67.2,1007.2,7,6.1,13,84,66
67.7,61.9,1008.6,9.9,8.2,13,73.9,60.1
69.2,62.6,1012.7,12.3,1.4,8.9,84,55.9
75.3,65.7,1010,13.6,11.5,17.1,87.1,64.9
78.5,69.6,1007.5,14.9,13.1,22,90,66
73.2,67.8,1014.4,8.3,13,26,88,64.9
73.9,69.7,1016.8,5.2,7.2,8.9,84.9,68
82.1,74.7,1009.5,9.7,10.6,14,95,73.9
76.9,67.3,1013.4,11.2,8.9,26,90,70
75.5,65.8,1013.7,13.8,9.3,25.1,88,66.9
77.5,71.5,1005.4,12,15,25.1,96.1,66.9
70.8,68.7,1003.2,9.8,4,13,75.9,66.9
74.6,69.6,1002.3,10.4,6.3,20,89.1,64.9
81.7,74.1,1007.3,13.3,9.2,18.1,90,73.9
78.3,73,1008.7,12.6,10.8,15,88,69.1
