time,V1,V2,V3,V4
2015-02-04 17:51:00,23.18,27.272,426.0,721.25
2015-02-04 18:07:00,23.0,27.2,0.0,681.5
2015-02-04 18:23:00,22.7,27.5,0.0,667.0
2015-02-04 18:39:00,22.5,27.5,0.0,640.0
2015-02-04 18:55:00,22.29,27.3566666666667,0.0,616.333333333333
2015-02-04 19:11:00,22.2,27.29,0.0,594.333333333333
2015-02-04 19:27:00,22.1,27.2,0.0,580.0
2015-02-04 19:43:00,22.0,27.1,0.0,557.0
2015-02-04 19:59:00,21.79,27.1,0.0,538.0
2015-02-04 20:15:00,21.7,27.0,0.0,525.0
2015-02-04 20:31:00,21.7,26.79,0.0,525.5
2015-02-04 20:47:00,21.65,26.55,0.0,511.0
2015-02-04 21:03:00,21.5,26.2,0.0,502.0
2015-02-04 21:19:00,21.5,26.0,0.0,493.0
2015-02-04 21:35:00,21.5,25.84,0.0,490.0
2015-02-04 21:51:00,21.445,25.745,0.0,487.25
2015-02-04 22:07:00,21.39,25.7,0.0,481.666666666667
2015-02-04 22:23:00,21.34,25.7,0.0,480.0
2015-02-04 22:38:59,21.29,25.7,0.0,475.333333333333
2015-02-04 22:54:59,21.26,25.6666666666667,0.0,467.333333333333
2015-02-04 23:10:59,21.2,25.6,0.0,467.5
2015-02-04 23:26:59,21.2,25.39,0.0,473.0
2015-02-04 23:43:00,21.2,25.39,0.0,465.0
2015-02-04 23:58:59,21.2,25.2,0.0,456.0
2015-02-05 00:15:00,21.29,25.2,0.0,456.0
2015-02-05 00:30:59,21.2,25.2,0.0,458.666666666667
2015-02-05 00:47:00,21.1,25.5,0.0,451.0
2015-02-05 01:02:59,21.1,25.39,0.0,450.0
2015-02-05 01:19:00,21.2,25.2,0.0,446.0
2015-02-05 01:34:59,21.2,25.1,0.0,442.0
2015-02-05 01:51:00,21.125,25.1,0.0,445.75
2015-02-05 02:06:59,21.0,25.0,0.0,443.5
2015-02-05 02:23:00,21.0,24.89,0.0,444.0
2015-02-05 02:38:59,21.0333333333333,24.9266666666667,0.0,437.0
2015-02-05 02:55:00,21.0,24.8566666666667,0.0,435.0
2015-02-05 03:10:59,20.89,24.89,0.0,445.5
2015-02-05 03:27:00,21.0,24.7,0.0,445.0
2015-02-05 03:42:59,21.0,24.5,0.0,441.5
2015-02-05 03:59:00,21.0,24.39,0.0,444.0
2015-02-05 04:14:59,20.89,24.29,0.0,443.0
2015-02-05 04:31:00,20.865,24.175,0.0,447.25
2015-02-05 04:46:59,20.89,23.89,0.0,453.0
2015-02-05 05:03:00,20.89,23.7,0.0,449.0
2015-02-05 05:19:00,20.89,23.5,0.0,449.0
2015-02-05 05:35:00,20.89,23.445,0.0,446.0
2015-02-05 05:51:00,20.84,23.395,0.0,446.5
2015-02-05 06:07:00,20.84,23.245,0.0,448.5
2015-02-05 06:23:00,20.89,23.1,0.0,445.666666666667
2015-02-05 06:39:00,20.89,23.0,0.0,449.0
2015-02-05 06:55:00,20.7,22.79,0.0,452.0
