Date,Open,High,Low,Close,Adj Close,Volume
1996-12-12,0.861608,0.866072,0.852680,0.852680,0.181182,21750400
1996-12-13,0.848216,0.852680,0.830356,0.830356,0.176439,22274000
1996-12-16,0.839284,0.839284,0.803572,0.808036,0.171696,37310000
1996-12-17,0.799108,0.803572,0.794644,0.803572,0.170748,39312000
1996-12-18,0.812500,0.825892,0.808036,0.825892,0.175490,51268000
1996-12-19,0.821428,0.830356,0.794644,0.794644,0.168851,34221600
1996-12-20,0.803572,0.843752,0.763392,0.839284,0.178336,136609200
1996-12-23,0.857144,0.866072,0.830356,0.830356,0.176439,83076000
1996-12-24,0.830356,0.834820,0.816964,0.825892,0.175490,14403200
1996-12-26,0.830356,0.830356,0.816964,0.821428,0.174542,21221200
1996-12-27,0.816964,0.848216,0.816964,0.825892,0.175490,34249600
1996-12-30,0.825892,0.830356,0.776784,0.776784,0.165055,65450000
1996-12-31,0.763392,0.767856,0.741072,0.745536,0.158416,95936400
1997-01-02,0.754464,0.758928,0.741072,0.750000,0.159364,35778400
1997-01-03,0.754464,0.794644,0.750000,0.776784,0.165055,29929200
1997-01-06,0.629464,0.655132,0.616072,0.638392,0.135649,470708000
1997-01-07,0.647320,0.651784,0.625000,0.625000,0.132804,244232800
1997-01-08,0.651784,0.656252,0.620536,0.629464,0.133752,275032800
1997-01-09,0.633928,0.638392,0.625000,0.633928,0.134701,111664000
1997-01-10,0.629464,0.651784,0.629464,0.651784,0.138495,88429600
1997-01-13,0.660716,0.660716,0.647320,0.647320,0.137546,76437200
1997-01-14,0.656252,0.656252,0.633928,0.638392,0.135649,63943600
1997-01-15,0.642856,0.642856,0.611608,0.616072,0.130906,108273200
1997-01-16,0.611608,0.611608,0.593752,0.598216,0.127112,167826400
1997-01-17,0.598216,0.611608,0.593752,0.598216,0.127112,81286800
1997-01-20,0.602680,0.611608,0.598216,0.604912,0.128535,72906400
1997-01-21,0.607144,0.616072,0.602680,0.616072,0.130906,71206800
1997-01-22,0.620536,0.625000,0.607144,0.613840,0.130432,51405200
1997-01-23,0.616072,0.620536,0.611608,0.616072,0.130906,43086400
1997-01-24,0.616072,0.616072,0.602680,0.602680,0.128061,47070800
1997-01-27,0.611608,0.616072,0.593752,0.593752,0.126164,53510800
1997-01-28,0.607144,0.607144,0.589284,0.593752,0.126164,52640000
1997-01-29,0.593752,0.598216,0.589284,0.593752,0.126164,37926000
1997-01-30,0.598216,0.598216,0.589284,0.598216,0.127112,34983200
1997-01-31,0.593752,0.593752,0.589284,0.593752,0.126164,49907200
1997-02-03,0.602680,0.607144,0.580356,0.582588,0.123792,92027600
1997-02-04,0.580356,0.584820,0.540180,0.549108,0.116678,178161200
1997-02-05,0.544644,0.558036,0.544644,0.544644,0.115729,98621600
1997-02-06,0.544644,0.575892,0.544644,0.571428,0.121420,99876000
1997-02-07,0.589284,0.589284,0.562500,0.564732,0.119997,58816800
1997-02-10,0.575892,0.575892,0.558036,0.558036,0.118575,46351200
1997-02-11,0.566964,0.571428,0.553572,0.560268,0.119049,35019600
1997-02-12,0.562500,0.566964,0.553572,0.562500,0.119523,44066400
1997-02-13,0.562500,0.575892,0.553572,0.575892,0.122369,48958000
1997-02-14,0.580356,0.584820,0.571428,0.582588,0.123792,59312400
1997-02-18,0.593752,0.638392,0.580356,0.638392,0.135649,92069600
1997-02-19,0.638392,0.638392,0.611608,0.629464,0.133752,60323200
1997-02-20,0.629464,0.629464,0.607144,0.607144,0.129009,31236800
1997-02-21,0.602680,0.607144,0.571428,0.584820,0.124266,52771600
1997-02-24,0.580356,0.602680,0.580356,0.593752,0.126164,29397200
1997-02-25,0.607144,0.620536,0.602680,0.602680,0.128061,34521200
1997-02-26,0.607144,0.611608,0.598216,0.611608,0.129958,25793600
1997-02-27,0.607144,0.611608,0.598216,0.607144,0.129009,25748800
1997-02-28,0.602680,0.602680,0.580356,0.580356,0.123317,30469600
1997-03-03,0.589284,0.589284,0.571428,0.575892,0.122369,32614400
1997-03-04,0.580356,0.589284,0.571428,0.589284,0.125214,25799200
1997-03-05,0.593752,0.607144,0.589284,0.607144,0.129009,24040800
1997-03-06,0.607144,0.607144,0.589284,0.593752,0.126164,29072400
1997-03-07,0.598216,0.598216,0.584820,0.589284,0.125214,17654000
1997-03-10,0.593752,0.598216,0.587052,0.593752,0.126164,24796800
1997-03-11,0.593752,0.593752,0.571428,0.584820,0.124266,24626000
1997-03-12,0.580356,0.598216,0.575892,0.580356,0.123317,17749200
1997-03-13,0.584820,0.584820,0.575892,0.584820,0.124266,26272400
1997-03-14,0.584820,0.598216,0.580356,0.591516,0.125689,57604400
1997-03-17,0.580356,0.589284,0.571428,0.589284,0.125214,48188000
1997-03-18,0.584820,0.589284,0.575892,0.580356,0.123317,31768800
1997-03-19,0.584820,0.584820,0.566964,0.575892,0.122369,52057600
1997-03-20,0.571428,0.625000,0.566964,0.616072,0.130906,79259600
1997-03-21,0.625000,0.625000,0.584820,0.593752,0.126164,34115200
1997-03-24,0.589284,0.593752,0.580356,0.589284,0.125214,17805200
1997-03-25,0.593752,0.593752,0.574220,0.589284,0.125214,28140000
1997-03-26,0.584820,0.602680,0.580356,0.598216,0.127112,26709200
1997-03-27,0.625000,0.687500,0.616072,0.665180,0.141341,284726400
1997-03-31,0.665180,0.691964,0.616072,0.651784,0.138495,242561200
