dateTime|region|sessionsA|sessionsB|isMissing
2023-06-16 00:00:00|R1|7756463969.726696|841936279.3548073|0.0
2023-06-16 00:00:00|R2|5010395805.10981|495325786.5924841|0.0
2023-06-16 00:00:00|R3|10502561056.050756|1092022822.045876|0.0
2023-06-16 00:00:00|R4|4840026973.801854|503116377.79599804|0.0
2023-06-16 00:00:00|R5|144.829673011225|280.9028794533919|0.0
2023-06-16 00:15:00|R1|7593472556.797462|789472505.6769155|0.0
2023-06-16 00:15:00|R2|4840902563.795022|466088278.9224012|0.0
2023-06-16 00:15:00|R3|10870642788.181553|1026134187.9443631|0.0
2023-06-16 00:15:00|R4|4847158437.867252|477813741.0834553|0.0
2023-06-16 00:15:00|R5|105.5236700829673|207.3343094192289|0.0
2023-06-16 00:30:00|R1|7148578178.046852|771592380.6149341|0.0
2023-06-16 00:30:00|R2|4490436788.748658|437315444.65592974|0.0
2023-06-16 00:30:00|R3|10459051858.1347|984265893.1078575|0.0
2023-06-16 00:30:00|R4|4634985189.417276|433244795.64665693|0.0
2023-06-16 00:30:00|R5|116.8911664226452|208.39531478770132|0.0
2023-06-16 00:45:00|R1|6641380618.183504|674419617.9873109|0.0
2023-06-16 00:45:00|R2|4192584467.519766|419575949.8340654|0.0
2023-06-16 00:45:00|R3|9815766514.985847|937048107.7901416|0.0
2023-06-16 00:45:00|R4|4385577416.939971|407828374.60419714|0.0
2023-06-16 00:45:00|R5|118.33674963396778|213.27672035139094|0.0
2023-06-16 01:00:00|R1|6226767367.195705|649743525.2816008|0.0
2023-06-16 01:00:00|R2|3922733942.214739|365460218.5192777|0.0
2023-06-16 01:00:00|R3|9245225686.15227|847261895.0239141|0.0
2023-06-16 01:00:00|R4|4149129401.3108835|423854930.8238165|0.0
2023-06-16 01:00:00|R5|120.9526598340654|222.22059541239628|0.0
2023-06-16 01:15:00|R1|5860409364.835529|609991435.2103465|0.0
2023-06-16 01:15:00|R2|3625643176.9292336|365727633.7179112|0.0
2023-06-16 01:15:00|R3|8738576159.383114|855614328.3250366|0.0
2023-06-16 01:15:00|R4|3914953243.4250855|354005139.12542707|0.0
2023-06-16 01:15:00|R5|120.75549048316252|213.1303074670571|0.0
2023-06-16 01:30:00|R1|5448932501.567594|598645141.9590044|0.0
2023-06-16 01:30:00|R2|3304556062.4860907|303376925.3489507|0.0
2023-06-16 01:30:00|R3|8167448817.529527|783956709.9843826|0.0
2023-06-16 01:30:00|R4|3649978177.830161|375907825.44265497|0.0
2023-06-16 01:30:00|R5|110.78282088823816|210.94875549048317|0.0
2023-06-16 01:45:00|R1|5088218275.560761|551472926.2986823|0.0
2023-06-16 01:45:00|R2|3099345828.967301|288156426.8374817|0.0
2023-06-16 01:45:00|R3|7800710378.690093|736059534.5407516|0.0
2023-06-16 01:45:00|R4|3464271484.8394337|339559687.26891166|0.0
2023-06-16 01:45:00|R5|111.33723767691556|196.0878477306003|0.0
2023-06-16 02:00:00|R1|4872119209.507076|577951014.0595412|0.0
2023-06-16 02:00:00|R2|2961225051.4602246|297907830.8931186|0.0
2023-06-16 02:00:00|R3|7447429394.692045|721951990.2508541|0.0
2023-06-16 02:00:00|R4|3292226970.775988|319389196.215715|0.0
2023-06-16 02:00:00|R5|117.21034651049293|205.05319668130795|0.0
2023-06-16 02:15:00|R1|4659685369.463153|542584462.114202|0.0
2023-06-16 02:15:00|R2|2750498452.5163493|276577660.9438751|0.0
2023-06-16 02:15:00|R3|7174197120.641289|687366317.7969742|0.0
2023-06-16 02:15:00|R4|3168524826.115178|324056744.0126891|0.0
2023-06-16 02:15:00|R5|152.28989751098098|177.50414836505612|0.0
2023-06-16 02:30:00|R1|4423962197.913128|521976423.90141535|0.0
2023-06-16 02:30:00|R2|2579371425.942411|289757045.6554417|0.0
2023-06-16 02:30:00|R3|6809757898.502685|692840112.6002928|0.0
2023-06-16 02:30:00|R4|3049113910.2801366|326773896.681308|0.0
2023-06-16 02:30:00|R5|207.6896046852123|167.68081991215226|0.0
2023-06-16 02:45:00|R1|4181986866.3387017|531222235.40849197|0.0
2023-06-16 02:45:00|R2|2453930623.9707174|272458446.6861884|0.0
2023-06-16 02:45:00|R3|6630541126.033187|655505882.7252318|0.0
2023-06-16 02:45:00|R4|2914512788.0761347|310146305.19570524|0.0
2023-06-16 02:45:00|R5|90.40117130307468|149.37628111273793|0.0
2023-06-16 03:00:00|R1|4073340107.056125|499479168.54270375|0.0
2023-06-16 03:00:00|R2|2344254043.7530503|270127461.5968765|0.0
2023-06-16 03:00:00|R3|6473448264.747682|697442026.828697|0.0
2023-06-16 03:00:00|R4|2863119540.8511467|278968853.2240117|0.0
